,param_alpha,param_fit_prior,mean_test_score,std_test_score,variance
1,0.05,False,0.9529411764705882,0.02352941176470589,0.0005536332179930798
0,0.05,True,0.9,0.02352941176470589,0.0005536332179930798
3,0.26666666666666666,False,0.8764705882352942,0.011764705882352944,0.00013840830449826996
2,0.26666666666666666,True,0.8588235294117647,0.022009749333964365,0.0004844290657439448
5,0.48333333333333334,False,0.8588235294117647,0.022009749333964365,0.0004844290657439448
7,0.7000000000000001,False,0.8588235294117647,0.022009749333964365,0.0004844290657439448
9,0.9166666666666667,False,0.8588235294117647,0.022009749333964365,0.0004844290657439448
11,1.1333333333333335,False,0.8529411764705882,0.026306682088232825,0.0006920415224913498
17,1.7833333333333334,False,0.8529411764705882,0.026306682088232825,0.0006920415224913498
15,1.5666666666666667,False,0.8529411764705882,0.026306682088232825,0.0006920415224913498
13,1.35,False,0.8529411764705882,0.026306682088232825,0.0006920415224913498
19,2.0,False,0.8470588235294118,0.03429971702850177,0.0011764705882352944
4,0.48333333333333334,True,0.8294117647058823,0.05391265523477456,0.0029065743944636647
6,0.7000000000000001,True,0.7764705882352942,0.06602924800189304,0.004359861591695496
8,0.9166666666666667,True,0.7294117647058824,0.0655031101509414,0.004290657439446363
10,1.1333333333333335,True,0.6705882352941177,0.0539126552347746,0.002906574394463669
12,1.35,True,0.6470588235294118,0.055804899885324354,0.003114186851211074
14,1.5666666666666667,True,0.6058823529411765,0.057635052771368905,0.0033217993079584784
16,1.7833333333333334,True,0.5941176470588235,0.050601913335544875,0.0025605536332179942
18,2.0,True,0.5764705882352942,0.04778846120374095,0.002283737024221454
